w,step count
1.5,668
1.510204081632653,653
1.5204081632653061,638
1.530612244897959,622
1.5408163265306123,607
1.5510204081632653,592
1.5612244897959184,578
1.5714285714285714,563
1.5816326530612246,549
1.5918367346938775,534
1.6020408163265305,520
1.6122448979591837,506
1.6224489795918366,492
1.6326530612244898,478
1.6428571428571428,464
1.653061224489796,450
1.663265306122449,436
1.6734693877551021,422
1.683673469387755,409
1.693877551020408,395
1.7040816326530612,382
1.7142857142857142,368
1.7244897959183674,355
1.7346938775510203,342
1.7448979591836735,329
1.7551020408163265,315
1.7653061224489797,302
1.7755102040816326,289
1.7857142857142856,276
1.7959183673469388,263
1.8061224489795917,249
1.816326530612245,236
1.8265306122448979,222
1.836734693877551,209
1.846938775510204,195
1.8571428571428572,181
1.8673469387755102,166
1.8775510204081631,151
1.8877551020408163,134
1.8979591836734693,116
1.9081632653061225,93
1.9183673469387754,92
1.9285714285714286,111
1.9387755102040816,78
1.9489795918367347,124
1.9591836734693877,147
1.9693877551020407,116
1.9795918367346939,163
1.989795918367347,179
2.0,517
