P,average
0.55,0.0009392799999999999
0.555,0.0009704000000000001
0.56,0.00100256
0.5650000000000001,0.00106472
0.5700000000000001,0.0012664
0.5750000000000001,0.0014472
0.5800000000000001,0.00127416
0.5850000000000001,0.0014973599999999999
0.5900000000000001,0.001948
0.5950000000000001,0.00210048
0.6000000000000001,0.0033932000000000003
0.6050000000000001,0.0037593600000000002
0.6100000000000001,0.00345576
0.6150000000000001,0.0084732
0.6200000000000001,0.01353312
0.6250000000000001,0.10992503999999999
0.6300000000000001,0.1564016
0.6350000000000001,0.18231672000000002
0.6400000000000001,0.21650408000000002
0.6450000000000001,0.24333919999999998
0.6500000000000001,0.2697844
0.6550000000000001,0.29071256
0.6600000000000001,0.31463472000000003
0.6650000000000001,0.33339752
0.6700000000000002,0.35306368000000005
0.6750000000000002,0.37380048
0.6800000000000002,0.39117896
0.6850000000000002,0.40985600000000005
0.6900000000000002,0.42681527999999996
0.6950000000000002,0.44283047999999997
