t,Probability
0,0.77
1,0.6
2,0.505
3,0.46
4,0.44
5,0.43
6,0.42
7,0.405
8,0.39
9,0.38
10,0.375
11,0.365
12,0.365
13,0.355
14,0.345
15,0.34
16,0.34
17,0.335
18,0.33
19,0.33
20,0.33
21,0.33
22,0.325
23,0.31
24,0.31
25,0.31
26,0.31
27,0.305
28,0.305
29,0.3
30,0.3
31,0.29
32,0.29
33,0.29
34,0.29
35,0.29
36,0.29
37,0.29
38,0.285
39,0.285
40,0.285
41,0.285
42,0.285
43,0.285
44,0.285
45,0.285
46,0.285
47,0.28
48,0.28
49,0.28
50,0.28
51,0.28
52,0.28
53,0.28
54,0.28
55,0.28
56,0.28
57,0.28
58,0.28
59,0.28
60,0.28
61,0.28
62,0.28
63,0.28
64,0.28
65,0.28
66,0.28
67,0.28
68,0.28
69,0.28
70,0.28
71,0.28
72,0.28
73,0.28
74,0.28
75,0.28
76,0.28
77,0.28
78,0.28
79,0.28
80,0.28
81,0.28
82,0.28
83,0.28
84,0.28
85,0.28
86,0.28
87,0.28
88,0.28
89,0.28
90,0.28
91,0.28
92,0.28
93,0.28
94,0.28
95,0.28
96,0.28
97,0.28
98,0.28
99,0.28
100,0.28
101,0.28
102,0.28
103,0.28
104,0.28
105,0.28
106,0.28
107,0.28
108,0.28
109,0.28
110,0.28
111,0.28
112,0.28
113,0.28
114,0.28
115,0.28
116,0.28
117,0.28
118,0.28
119,0.28
120,0.28
121,0.28
122,0.28
123,0.28
124,0.28
125,0.28
126,0.28
127,0.28
128,0.28
129,0.28
130,0.28
131,0.28
132,0.28
133,0.28
134,0.28
135,0.28
136,0.28
137,0.28
138,0.28
139,0.28
140,0.28
141,0.28
142,0.28
143,0.28
144,0.28
145,0.28
146,0.28
147,0.28
148,0.28
149,0.28
150,0.28
151,0.28
152,0.28
153,0.28
154,0.28
155,0.28
156,0.28
157,0.28
158,0.28
159,0.28
160,0.28
161,0.28
162,0.28
163,0.28
164,0.28
165,0.28
166,0.28
167,0.28
168,0.28
169,0.28
170,0.28
171,0.28
172,0.28
173,0.28
174,0.28
175,0.28
176,0.28
177,0.28
178,0.28
179,0.28
180,0.28
181,0.28
182,0.28
183,0.28
184,0.28
185,0.28
186,0.28
187,0.28
188,0.28
189,0.28
190,0.28
191,0.28
192,0.28
193,0.28
194,0.28
195,0.28
196,0.28
197,0.28
198,0.28
199,0.28
200,0.28
201,0.28
202,0.28
203,0.28
204,0.28
205,0.28
206,0.28
207,0.28
208,0.28
209,0.28
210,0.28
211,0.28
212,0.28
213,0.28
214,0.28
215,0.28
216,0.28
217,0.28
218,0.28
219,0.28
220,0.28
221,0.28
222,0.28
223,0.28
224,0.28
225,0.28
226,0.28
227,0.28
228,0.28
229,0.28
230,0.28
231,0.28
232,0.28
233,0.28
234,0.28
235,0.28
236,0.28
237,0.28
238,0.28
239,0.28
240,0.28
241,0.28
242,0.28
243,0.28
244,0.28
245,0.28
246,0.28
247,0.28
248,0.28
249,0.28
250,0.28
251,0.28
252,0.28
253,0.28
254,0.28
255,0.28
256,0.28
257,0.28
258,0.28
259,0.28
260,0.28
261,0.28
262,0.28
263,0.28
264,0.28
265,0.28
266,0.28
267,0.28
268,0.28
269,0.28
270,0.28
271,0.28
272,0.28
273,0.28
274,0.28
275,0.28
276,0.28
277,0.28
278,0.28
279,0.28
280,0.28
281,0.28
282,0.28
283,0.28
284,0.28
285,0.28
286,0.28
287,0.28
288,0.28
289,0.28
290,0.28
291,0.28
292,0.28
293,0.28
294,0.28
295,0.28
296,0.28
297,0.28
298,0.28
299,0.28
