Value of prob 3,fraction
0.0,0.0014666666666666667
0.005,0.0014986666666666666
0.01,0.0014666666666666667
0.015,0.0015146666666666668
0.02,0.0014906666666666666
0.025,0.0015813333333333335
0.03,0.0014346666666666668
0.035,0.0015626666666666666
0.04,0.0015226666666666665
0.045,0.0017493333333333332
0.05,0.02761333333333333
0.055,0.001504
0.06,0.04397333333333332
0.065,0.015877333333333337
0.07,0.059832000000000024
0.075,0.06671999999999999
0.08,0.069552
0.085,0.07517333333333334
0.09,0.07940533333333326
0.095,0.08470666666666665
0.1,0.09061866666666671
